"year","state_id","state","cve_cie","morbilidad"
2012,7,"Chiapas","N00-N99",18676
2012,7,"Chiapas","O00-O99",33046
2012,7,"Chiapas","P00-P96",1091
2012,7,"Chiapas","Q00-Q99",441
2012,7,"Chiapas","R00-R99",12961
2012,7,"Chiapas","S00-T99",28752
2012,7,"Chiapas","Z00-Z99",73076
2012,8,"Chihuahua","A00-B99",345
2012,8,"Chihuahua","C00-D48",464
2012,8,"Chihuahua","D50-D89",132
2012,8,"Chihuahua","E00-E90",864
2012,8,"Chihuahua","F00-F99",414
2012,8,"Chihuahua","G00-G99",435
2012,8,"Chihuahua","H00-H59",446
2012,8,"Chihuahua","I00-I99",837
2012,8,"Chihuahua","J00-J99",3569
2012,8,"Chihuahua","K00-K93",3247
2012,8,"Chihuahua","L00-L99",603
2012,8,"Chihuahua","M00-M99",1241
2012,8,"Chihuahua","N00-N99",2115
2012,8,"Chihuahua","O00-O99",5118
2012,8,"Chihuahua","P00-P96",38
2012,8,"Chihuahua","Q00-Q99",30
2012,8,"Chihuahua","R00-R99",1612
2012,8,"Chihuahua","S00-T99",6460
2012,8,"Chihuahua","Z00-Z99",6187
2012,9,"Ciudad de México","A00-B99",12342
2012,9,"Ciudad de México","C00-D48",3997
2012,9,"Ciudad de México","D50-D89",2062
2012,9,"Ciudad de México","E00-E90",22812
2012,9,"Ciudad de México","F00-F99",11568
2012,9,"Ciudad de México","G00-G99",8572
2012,9,"Ciudad de México","H00-H59",12235
2012,9,"Ciudad de México","I00-I99",12100
2012,9,"Ciudad de México","J00-J99",97608
2012,9,"Ciudad de México","K00-K93",55582
2012,9,"Ciudad de México","L00-L99",12858
2012,9,"Ciudad de México","M00-M99",26431
2012,9,"Ciudad de México","N00-N99",49318
2012,9,"Ciudad de México","O00-O99",106272
2012,9,"Ciudad de México","P00-P96",2352
2012,9,"Ciudad de México","Q00-Q99",1098
2012,9,"Ciudad de México","R00-R99",35916
2012,9,"Ciudad de México","S00-T99",172974
2012,9,"Ciudad de México","Z00-Z99",81609
2012,10,"Durango","A00-B99",3114
2012,10,"Durango","C00-D48",314
2012,10,"Durango","D50-D89",343
2012,10,"Durango","E00-E90",3888
2012,10,"Durango","F00-F99",2596
2012,10,"Durango","G00-G99",3548
2012,10,"Durango","H00-H59",3573
2012,10,"Durango","I00-I99",1883
2012,10,"Durango","J00-J99",28814
2012,10,"Durango","K00-K93",13409
2012,10,"Durango","L00-L99",3133
