"state_id","state","year","ciertas_afecciones_originadas_en_el_periodo_perinatal_p00_p96","ciertas_enfermedades_infecciosas_y_parasitarias_a00_b99","embarazo_parto_y_puerperio_o00_o99","enfermedades_de_la_piel_y_del_tejido_subcutaneo_l00_l99","enfermedades_de_la_sangre_y_de_los_organos_hematopoyeticos_y_ciertos_trastornos_que_afectan_el_mecanismo_de_la_inmunidad_d50_d89","enfermedades_del_ojo_y_sus_anexos_h00_h59","enfermedades_del_sistema_circulatorio_i00_i99","enfermedades_del_sistema_digestivo_k00_k93","enfermedades_del_sistema_genitourinario_n00_n99","enfermedades_del_sistema_nervioso_g00_g99","enfermedades_del_sistema_osteomuscular_y_del_tejido_conjuntivo_m00_m99","enfermedades_del_sistema_respiratorio_j00_j99","enfermedades_endocrinas_nutricionales_y_metabolicas_e00_e90","malformaciones_congenitas_deformidades_y_anomalias_cromosomicas_q00_q99","sintomas_signos_y_hallazgos_anormales_clinicos_y_de_laboratorio_no_clasificados_en_otra_parte_r00_r99","trastornos_mentales_y_del_comportamiento_f00_f99","tumores_neoplasias_c00_d48"
1,"Aguascalientes",2012,0.6266666666666667,0.07865818392134181,4.902120984345893e-4,0.005990783410138249,0.08374384236453201,8.107012565869477e-4,0.5609195402298851,0.04597701149425287,0.01753260637160573,0.0685504971219257,0.012666521074470409,0.02299442701259776,0.2874289324068225,0.24324324324324326,0.005986086393787413,0.008870292887029289,1.110512129380054
2,"Baja California",2012,0.8418230563002681,0.2564023449552607,0.002517985611510791,0.012858555885262116,0.08241082410824108,0,0.9678643724696356,0.06779661016949153,0.043973615830501696,0.11142511102139685,0.015167602002123465,0.04940107725701423,0.32259600126943827,1.0675105485232068,0.0102280348759222,0.023905996758508914,1.462137296532201
3,"Baja California Sur",2012,0.24907063197026022,0.06728232189973615,5.94883997620464e-4,0.00603448275862069,0.0371900826446281,0,0.8037904124860646,0.022808492747529954,0.012521343198634035,0.03608247422680412,0.004795615437314455,0.011563340775087298,0.1793600721045516,0.44047619047619047,0.0016390755613833797,0.014370245139475908,1.1833333333333333
4,"Campeche",2012,0.8287292817679558,0.05502116198537899,4.422169811320755e-4,0.005288461538461539,0.08550185873605948,0,1.0827067669172932,0.05446764362598885,0.021352313167259787,0.05456570155902005,0.012286959968291716,0.01868968329482126,0.23366336633663368,2.25,0.020871597929537484,0.010810810810810811,0.9978768577494692
5,"Coahuila de Zaragoza",2012,0.5712418300653594,0.2182410423452769,9.069043018808407e-4,0.015191199580932426,0.158,0,2.533672172808132,0.1179122420356642,0.05094802012124339,0.2606324972737186,0.038249356381022434,0.06616100931210574,0.6171837708830549,0.44221105527638194,0.06293121471879573,0.030181086519114688,1.4597615499254843
6,"Colima",2012,0.275,0.09787928221859707,0.0020060180541624875,0.008534850640113799,0.08098591549295775,0,0.9482163406214039,0.058035034272658034,0.027135678391959798,0.07894736842105263,0.012412081092263137,0.026246973365617432,0.20176266918476551,0.379746835443038,0.01082753286929621,0.017897091722595078,1.4773333333333334
7,"Chiapas",2012,0.5591200733272227,0.10806063967461638,0.0019366943049083096,0.006470696986503975,0.17639429312581065,2.28675966155957e-4,1.3925461511668409,0.09020464931452414,0.046798029556650245,0.17041800643086816,0.022118380062305296,0.03814254765083047,0.30453230472516873,0.8480725623582767,0.12576190108787902,0.051718385051718385,1.0634071810542398
8,"Chihuahua",2012,12.552631578947368,1.953623188405797,0.006643220007815553,0.11276948590381426,0.9696969696969697,0.002242152466367713,6.32258064516129,0.5383430859254696,0.2614657210401891,0.8620689655172413,0.11845286059629331,0.42813112916783413,3.240740740740741,7.133333333333334,0.20595533498759305,0.3695652173913043,5.795258620689655
9,"Ciudad de México",2012,0.5272108843537415,0.15937449359909253,9.315718157181572e-4,0.020143101571006378,0.21968962172647916,8.173273395995096e-5,1.4882644628099173,0.12511244647547767,0.05085364370006894,0.1164255716285581,0.03178086338012183,0.06368330464716007,0.518718218481501,1.1010928961748634,0.009160262835505067,0.026192946058091287,2.6514886164623466
10,"Durango",2012,1.643835616438356,0.057803468208092484,7.473841554559044e-4,0.008617938078518992,0.12536443148688048,5.59753708368318e-4,1.180031864046734,0.04914609590573495,0.02446927374301676,0.03861330326944758,0.010876954452753228,0.02280141597834386,0.3125,1.6142857142857143,0.40186915887850466,0.01810477657935285,2.9904458598726116
11,"Guanajuato",2012,0.30348886086591004,0.06802288620470438,9.734673548854478e-4,0.009474851325471222,0.08053382420616659,1.2845215157353886e-4,0.9223167718912983,0.05375485768301649,0.025926142681570785,0.06695756846223293,0.014124659841907477,0.022184177883481808,0.27916688147651697,0.6748299319727891,0.013325257419745608,0.030385041210480995,0.8792594580091226
12,"Guerrero",2012,0.47752808988764045,0.111601766358892,0.002452120238447554,0.009040333796940195,0.12875536480686695,3.620564808110065e-4,1.364235983876878,0.08149459442372131,0.049670455630910305,0.10397253555664542,0.03004718152470822,0.04440556527534783,0.3909847434119279,0.7711267605633803,0.03439351631138051,0.03883029721955897,1.6093888396811338
13,"Hidalgo",2012,0.5597920277296361,0.19454163750874737,8.652220081016242e-4,0.013071895424836602,0.1366982124079916,6.920415224913495e-4,1.152980132450331,0.09852921149393981,0.04523946912867859,0.09053916581892167,0.024102079395085067,0.06597355923501476,0.34273451870018395,0.9090909090909091,0.01622453813358598,0.052782558806655194,0.9667673716012085
14,"Jalisco",2012,0.4847262247838617,0.11092303096684257,7.808745795290726e-4,0.012324135674555568,0.17787839586028462,1.7409470752089137e-4,1.3469444444444445,0.08723906173498909,0.04957074721780604,0.12036434612882238,0.02277983348751156,0.04625334670177719,0.5862962962962963,1.2697022767075306,0.005393900992672743,0.02521902890362728,2.5642181162685893
15,"Estado de México",2012,0.5265595205666032,0.10463161112809538,7.810714013563972e-4,0.010017794767020366,0.12836927223719677,8.500510030601836e-5,1.2401147673271766,0.08951082926330324,0.032792770294526215,0.07896122126688893,0.019345183779245902,0.039045356702495974,0.3911598434490899,0.8973105134474327,0.004637955513487932,0.03348477200067306,1.1889750215331611
16,"Michoacán de Ocampo",2012,0.6127562642369021,0.09653233364573571,0.001101539330603022,0.01252691329027207,0.16924328722538648,2.8169014084507044e-4,1.3576951858318782,0.07747436509978316,0.039018026565464894,0.09940036900369004,0.02472890769637662,0.05169690036498339,0.4375873776712602,0.43653250773993807,0.026760996616425715,0.04394403148229121,1.3503902862098873
17,"Morelos",2012,0.2992248062015504,0.08013836840588066,7.134233344309077e-4,0.007075471698113208,0.11733615221987315,0,0.9707652622527945,0.06234676007005254,0.0302537410540013,0.07028504490433425,0.014462809917355372,0.020738574832142084,0.26204611348888585,0.29563492063492064,0.011232083792723264,0.04219409282700422,1.2108157653528873
18,"Nayarit",2012,0.4427083333333333,0.11803640375068947,0.0026216137489076608,0.002534211860111505,0.08461538461538462,0,0.9695393759286776,0.05451470205568566,0.028359084686094268,0.08582089552238806,0.013362224629830263,0.037037037037037035,0.2799276672694394,1.042857142857143,0.02857796067672611,0.01728024042073629,1.7258771929824561
19,"Nuevo León",2012,1.2114803625377644,0.1778674899073854,0.0015810276679841897,0.02462447672986949,0.23227383863080683,1.9688915140775743e-4,3.908812729498164,0.14392618424876488,0.08208695652173913,0.21879255560599184,0.027088337336535897,0.07972021701116441,0.8250482625482626,2.731707317073171,0.02903825305869599,0.04579630895420369,6.4718909710391825
20,"Oaxaca",2012,0.2981510015408321,0.12745638200183654,0.0016059255374934452,0.008622875982754248,0.18778026905829595,0,1.546515106192043,0.13372200061368517,0.0438352252445206,0.14296606938619902,0.03673255203778206,0.047441127069550615,0.43996921498204206,0.8495575221238938,0.09326424870466321,0.12371134020618557,1.310163243812533
21,"Puebla",2012,0.8818493150684932,0.1004065541456203,0.0013022858031410357,0.015470895378070006,0.20448877805486285,0,1.3681959564541213,0.14768494922962325,0.072598121839634,0.1927629354075076,0.0376839499381103,0.05688609301280611,0.567623724971666,1.5358851674641147,0.0724997928577347,0.06531406336853808,1.3018592781625957
22,"Querétaro",2012,0.23616236162361623,0.1880952380952381,0.00023110700254217703,0.021141649048625793,0.07832422586520947,0,1.1760521636040309,0.10501002004008016,0.03819969742813918,0.10289172831203766,0.02899718082964156,0.04759904801903962,0.3241703813769193,0.5377358490566038,0.020657445661936412,0.0422976501305483,0.711352657004831
23,"Quintana Roo",2012,1.380952380952381,0.08969155844155845,0.0019076688286913392,0.005934718100890208,0.11857707509881422,0,1.4819277108433735,0.0725052758516732,0.023381967826412272,0.0962877030162413,0.01271725307333616,0.018711592902023063,0.2635542168674699,1.144927536231884,0.030115622479161063,0.03322528363047002,1.5335365853658536
24,"San Luis Potosí",2012,0.30994152046783624,0.16437177280550774,0.0032163333799468605,0.023862129916040652,0.185546875,0,1.814533622559653,0.11382268827454718,0.05309148682642659,0.14930182599355532,0.033785513181469155,0.06989247311827956,0.5865610328638498,1.7592592592592593,0.0841995841995842,0.09776536312849161,2.691729323308271
25,"Sinaloa",2012,0.5889724310776943,0.051909476661951906,0.001140436624307592,0.008136696501220505,0.09305210918114144,1.7442874585731728e-4,1.0517139479905437,0.03622169422489453,0.028451242829827916,0.09142475809142475,0.008598452278589854,0.025501860498186903,0.31158072696534234,0.8134715025906736,0.010924446892499771,0.022113022113022112,2.0509803921568626
26,"Sonora",2012,0.5553571428571429,0.13355732885342292,7.731749003011312e-4,0.008544303797468355,0.09686888454011741,1.559332605644784e-4,0.7309900817817993,0.04036360603786173,0.02533349651205483,0.08243451463790447,0.010406608732968566,0.027167717094366408,0.32521102086319476,0.9107142857142857,0.009535389735056956,0.02167954149015699,1.3063806380638063
27,"Tabasco",2012,0.5023640661938534,0.0656375664807368,3.949821468069643e-4,0.0016717748676511562,0.040513437625350986,0,0.8251837647810802,0.029375351716375914,0.013281578824299678,0.06606699751861042,0.008062418725617686,0.014932169623375392,0.16343215158924204,0.35949764521193095,0.006964644188618952,0.009094667217858619,0.5241057542768274
28,"Tamaulipas",2012,0.6680851063829787,0.1217292377701934,9.669479606188467e-4,0.012032085561497326,0.08850457782299084,0,1.511484956324814,0.07789473684210527,0.04611823361823362,0.08989523487664752,0.01257685858021241,0.03594681338835397,0.4035305475106882,1.5733333333333333,0.02568359375,0.020577933450087564,2.224526600541028
29,"Tlaxcala",2012,0.23674475955610358,0.03623473808586058,8.811486031203027e-4,0.008649687650168188,0.07836456558773425,0,0.5858425779186477,0.058885605740818914,0.026607538802660754,0.06074461136512083,0.0170582555519794,0.025966565174929627,0.2837708830548926,0.20650095602294455,0.025325004220834037,0.022342995169082124,0.4669527896995708
