"state_id","state","year","ciertas_afecciones_originadas_en_el_periodo_perinatal_p00_p96","ciertas_enfermedades_infecciosas_y_parasitarias_a00_b99","embarazo_parto_y_puerperio_o00_o99","enfermedades_de_la_piel_y_del_tejido_subcutaneo_l00_l99","enfermedades_de_la_sangre_y_de_los_organos_hematopoyeticos_y_ciertos_trastornos_que_afectan_el_mecanismo_de_la_inmunidad_d50_d89","enfermedades_del_ojo_y_sus_anexos_h00_h59","enfermedades_del_sistema_circulatorio_i00_i99","enfermedades_del_sistema_digestivo_k00_k93","enfermedades_del_sistema_genitourinario_n00_n99","enfermedades_del_sistema_nervioso_g00_g99","enfermedades_del_sistema_osteomuscular_y_del_tejido_conjuntivo_m00_m99","enfermedades_del_sistema_respiratorio_j00_j99","enfermedades_endocrinas_nutricionales_y_metabolicas_e00_e90","malformaciones_congenitas_deformidades_y_anomalias_cromosomicas_q00_q99","sintomas_signos_y_hallazgos_anormales_clinicos_y_de_laboratorio_no_clasificados_en_otra_parte_r00_r99","trastornos_mentales_y_del_comportamiento_f00_f99","tumores_neoplasias_c00_d48"
1,"Aguascalientes",2012,17.986157852916396,138.2136307897442,2446.0375295172835,173.46650018146033,32.455022614595805,197.20822854731,173.86619257819183,1001.469269250385,747.7445358052443,152.76243403076992,366.03829692668523,1706.9263494814393,253.08522561037026,32.5349610939421,494.09974083944996,477.63241409411313,59.314351674950956
2,"Baja California",2012,11.447385300575194,99.46642294682091,255.95494210937562,124.11052588612888,24.951003349511076,0,121.2870421122605,575.8065496230342,307.08455044921016,76.01923160730497,202.33944044689608,763.506840503243,193.40863850998625,7.273539721813192,366.0708092902437,75.7430212381222,43.36502796169638
3,"Baja California Sur",2012,40.231217330830724,226.7305779685479,502.81543742101445,346.9755546748226,36.19313975487374,0,134.15391057901545,1422.898891024251,788.3224778840474,232.1146814031572,654.9163594487277,2612.6361916441706,331.8701533721687,12.562908014088404,912.4559737375399,176.92762119841169,53.84103434609316
4,"Campeche",2012,20.875044979378686,299.7471928254431,1564.8210512718783,239.89001965252854,31.02423811852412,0,92.03472869361431,889.3230488176191,648.1643800226973,103.5679027153705,290.9819805689084,1696.9912255612041,291.2126440493435,3.22928872609173,690.7217921629776,170.69097552199145,54.32124964247161
5,"Coahuila de Zaragoza",2012,26.611018909824825,64.07515925738213,882.1987589177351,66.4057975148439,17.39282281687897,0,54.75260622753499,347.23031471617173,269.69311059852527,31.898437046156033,94.58217047818783,463.2056572591207,145.75185520544576,13.84468696223566,166.3797430662642,51.865397639933086,46.68233644050316
6,"Colima",2012,29.330372921026505,179.79518600589248,292.42381802263424,206.19252163481633,41.64912954785763,0,127.44047034186016,962.7694911326951,583.6744211284274,133.74650051988084,354.4575567506053,1514.1805020479933,465.91297385050603,11.58549730380547,758.4834437377455,196.6601504354827,54.9944492269247
7,"Chiapas",2012,21.652040789190092,214.69457127173092,655.8325755449824,107.34728563586546,30.602609438067027,86.78677760873353,56.978010179436076,499.42585376715743,370.64483389451345,49.37697294546742,127.41164240751641,906.904956868579,205.8035407735117,8.752108146684538,257.2246568915608,59.478612507060234,51.95695947396853
8,"Chihuahua",2012,1.075998328238387,9.768932190585355,144.91998536642274,17.0743945244144,3.7376784033543964,12.628822484061066,23.70027896672447,91.94122557342216,59.88780169011022,12.317349283781533,35.13984014062732,101.05889561796849,24.46480409468332,0.8494723643987264,45.64498171369157,11.722718628702426,13.138505902700302
9,"Ciudad de México",2012,25.991535069785947,136.3892541799737,1174.3930335613486,142.09147871059002,22.78679647699771,135.20681614746218,133.71495507840558,614.226829187433,545.0044755832072,94.72765247372666,292.08429567581305,1078.6487053961168,252.09136820236267,12.133803361660275,396.90134930545577,127.83591738404925,44.17013846680885
10,"Durango",2012,8.545812873623232,182.27165266070372,1174.7566052987552,183.3837789935725,20.07680695652581,209.13828354421787,110.21757288378456,784.8685261809172,523.8700357460817,207.67495942202208,344.4079653999938,1686.5688502779437,227.5761674838844,4.097307542148124,18.789081728993544,151.9515768488076,18.37935097477873
11,"Guanajuato",2012,41.70766137656671,137.88598433236535,774.4055562529234,173.93094094868363,38.09615307746089,136.483456837567,127.7351915887621,834.5915173734586,599.1246825904964,116.5149716303751,270.58261693397674,1710.1543691887148,340.0603227075513,12.885721358460081,463.1145787824238,142.5143250652,65.34024966391935
12,"Guerrero",2012,25.45824847250509,142.5089818988993,676.5887091237786,82.26732877182543,39.98947344332822,79.00638458545963,78.06242705782742,452.4417034714753,299.46337444792783,58.325133298244815,115.19142314469438,686.6861941920868,206.24041740085588,8.123755692349938,420.0038902492048,59.669557655781595,32.294789354447474
13,"Hidalgo",2012,20.79203603760728,51.49362131324229,916.2549399102951,60.64644133672972,34.269023001324996,52.070176905272994,108.82486799579547,529.2059640351829,312.24088780912837,70.84426837077281,152.49895409212132,561.4930771889022,235.09054265051975,6.738493481858859,304.2772136942043,62.80852480684487,59.637469050675996
14,"Jalisco",2012,22.612020732681604,130.88906295004114,867.884544455754,119.49833896135885,20.148809252291503,149.72155283979612,93.83662782438475,585.6187548140144,409.88360348290286,80.12605387004409,225.41643261813314,1182.8758580512479,140.7549417365771,7.441765901072735,802.185872113709,159.17037994711262,28.919927380876356
15,"Estado de México",2012,23.204221739821065,82.70336073108658,995.3985351947869,95.9078334127772,18.76059115330671,74.35970159282348,70.4975987644305,494.38708775765866,404.97719494649846,72.04623246812326,173.17517379620753,907.3792522400039,203.4967896191227,7.7558104262491,267.1235115022714,75.13085796772357,36.693137346679734
