"state_id","state","year","ciertas_afecciones_originadas_en_el_periodo_perinatal_p00_p96","ciertas_enfermedades_infecciosas_y_parasitarias_a00_b99","embarazo_parto_y_puerperio_o00_o99","enfermedades_de_la_piel_y_del_tejido_subcutaneo_l00_l99","enfermedades_de_la_sangre_y_de_los_organos_hematopoyeticos_y_ciertos_trastornos_que_afectan_el_mecanismo_de_la_inmunidad_d50_d89","enfermedades_del_ojo_y_sus_anexos_h00_h59","enfermedades_del_sistema_circulatorio_i00_i99","enfermedades_del_sistema_digestivo_k00_k93","enfermedades_del_sistema_genitourinario_n00_n99","enfermedades_del_sistema_nervioso_g00_g99","enfermedades_del_sistema_osteomuscular_y_del_tejido_conjuntivo_m00_m99","enfermedades_del_sistema_respiratorio_j00_j99","enfermedades_endocrinas_nutricionales_y_metabolicas_e00_e90","malformaciones_congenitas_deformidades_y_anomalias_cromosomicas_q00_q99","sintomas_signos_y_hallazgos_anormales_clinicos_y_de_laboratorio_no_clasificados_en_otra_parte_r00_r99","trastornos_mentales_y_del_comportamiento_f00_f99","tumores_neoplasias_c00_d48"
1,"Aguascalientes",2012,11.271325587827608,10.871633191096134,1.1990771901944264,1.0392002315018363,2.7179082977740334,0.1598769586925902,97.52494480248001,46.04456410346597,13.109910612792394,10.471940794364656,4.636431802085116,39.24979335903089,72.74401620512853,7.913909455283215,2.9577237358129183,4.23673940535364,65.86930698134715
2,"Baja California",2012,9.636672880376972,25.50342408787664,0.6444908614264854,1.5958821330560589,2.0562327483606913,0,117.38940690268127,39.03773217783283,13.503618048935884,8.470451321605236,3.0690041020308825,37.71806041395955,62.39285339428785,7.764580378138133,3.744185004477677,1.810712420198221,63.405624747958036
3,"Baja California Sur",2012,10.020414725522892,15.254959731393061,0.2991168574782953,2.0938180023480673,1.346025858652329,0,107.83162712092546,32.45417903639504,9.870856296783746,8.375272009392269,3.140727003522101,30.21080260530783,59.52425463818077,5.533661863348463,1.4955842873914766,2.5424932885655105,63.71189064287691
4,"Campeche",2012,17.29976103263427,16.492438851111334,0.6919904413053708,1.2686491423931798,2.6526300250039214,0,99.64662354797339,48.43933089137595,13.839808826107415,5.651255270660528,3.575283946744416,31.716228559829492,68.04572672836146,7.265899633706392,14.416467527195225,1.8453078434809886,54.20591790225404
5,"Coahuila de Zaragoza",2012,15.20132714195222,13.983829544770693,0.8000698495764326,1.0087837233789803,2.7480660050668773,0,138.72515478742665,40.942704910933095,13.740330025334385,8.313769306468147,3.6177071459108254,30.646153803340745,89.95567960889802,6.122273631541398,10.470479335761139,1.5653540535191075,68.1450797965318
6,"Colima",2012,8.065852553282289,17.5982237526159,0.5866074584205301,1.7598223752615902,3.372992885918048,0,120.8411364346292,55.87436041455549,15.838401377354312,10.558934251569543,4.399555938153975,39.74265530799091,94.00384521188994,4.399555938153975,8.212504417887422,3.5196447505231805,81.24513299124341
7,"Chiapas",2012,12.106090633735983,23.20003270629076,1.2701472140313164,0.694611757673376,5.398125659633094,0.019846050219239318,79.34450877651878,45.05053399767325,17.345447891615162,8.41472529295747,2.818139131131983,34.59166553213413,62.67382659235776,7.422422781995504,32.34906185736009,3.076137783982094,55.25140381036226
8,"Chihuahua",2012,13.506610593939751,19.084812453491388,0.9627353463185566,1.9254706926371132,3.624415421434566,0.028315745479957546,149.84692507993535,49.4959230989658,15.658607250416525,10.61840455498408,4.162414585553759,43.26645909337513,79.28408734388114,6.059569532710915,9.400827499345906,4.332309058433505,76.14103959560586
9,"Ciudad de México",2012,13.703020189853135,21.736968317291222,1.0940314506415003,2.8621630880419047,5.006022698389895,0.011050822733752528,199.00321578941552,76.84742129051507,27.71546341625134,11.028721088285023,9.282691096352123,68.69191411300571,130.76438540849367,13.360444685106806,3.635720679404582,3.348399288327016,117.1166193323093
10,"Durango",2012,14.047911573079285,10.535933679809464,0.8779944733174553,1.5803900519714196,2.5169174901767053,0.1170659297756607,130.06024798075904,38.5732238610802,12.818719310434847,8.019016189632758,3.7461097528211424,38.45615793130454,71.11755233871388,6.61422503232483,7.550752470530116,2.7510493497280266,54.962454029672706
