"state_id","state","year","medicos_en_otras_actividades","medicos_generales_especialistas_y_odontologos","otro_personal","otro_personal_profesional","personal_de_enfermeria_en_contacto_c_paciente","personal_de_enfermeria_en_otras_labores","personal_medico_en_adiestramiento","personal_tecnico"
1,"Aguascalientes",2001,6.278353856124434,74.5301360985094,78.98574206092029,10.328904731043423,109.97245625405056,4.253078418664939,21.366655865197668,27.746273493195076
2,"Baja California",2001,2.6891117863769596,28.644886420102395,30.67146341853141,2.6891117863769596,47.50764155932629,2.9229475938879994,10.327748165070933,9.665213377122987
3,"Baja California Sur",2001,5.554419985247461,79.76147098815353,98.42432213858501,9.331425575215734,111.3105765043591,5.776596784657359,26.216862330368013,39.76964709437182
4,"Campeche",2001,4.598790378773098,74.69550433401153,65.21920900805485,6.689149641851779,96.9926698068508,9.755009894367179,18.255804230887147,32.888319072437916
5,"Coahuila de Zaragoza",2001,2.6073612536865776,32.54996145731308,27.923997942707864,5.467047789987985,46.04936407720649,2.1027106884569173,7.107162126984381,10.513553442284586
6,"Colima",2001,5.262136028030854,78.56913448749516,54.254436978662945,5.806494927482322,95.26280740400684,6.169400860449968,29.758286503346902,23.588885642896933
7,"Chiapas",2001,2.2185700724264525,37.222675659599375,23.788001332128076,3.451109001552259,54.10845898862292,2.0706654009313556,8.701724839628197,25.488905054321688
8,"Chihuahua",2001,2.1460169125350768,35.905745655997336,35.55341452110352,4.1639134123814925,51.72861662304701,4.227973618725824,9.32076002310011,14.60572704650739
9,"Ciudad de México",2001,17.40250628296038,111.6842934616955,201.99789513638478,25.52290908254401,155.64488765434228,20.427528855609808,36.840864259300794,61.616144188908635
10,"Durango",2001,3.902743628771026,56.993514716707914,46.496480128978945,6.392424909193922,72.53720054853736,6.055981492920558,16.14928398112149,16.14928398112149
11,"Guanajuato",2001,3.4270585076205036,37.55136669630515,22.42215718705366,2.047876425285423,45.28314503666848,4.0121660577020535,13.269403367920852,11.702151001630988
12,"Guerrero",2001,2.8341358608305547,70.85339652076387,43.1807665987217,5.668271721661109,85.88386985011242,3.5028645470939437,19.138378116395092,26.23963988004918
13,"Hidalgo",2001,6.942567179100442,56.66870459940736,41.43844785025577,2.2129432883382663,77.58318822644745,6.118137326582265,21.00126571677884,27.726877671532396
14,"Jalisco",2001,5.449628926323319,59.19371588704992,51.901958872955326,7.000086733530799,76.67858165347882,5.879458813469948,27.908240529734634,13.677801051701627
15,"Estado de México",2001,3.344028016549736,30.989979013058914,37.26096250957312,1.9140650339716754,44.202241154170785,3.5078779416368056,10.896020018290121,26.66285144598676
16,"Michoacán de Ocampo",2001,2.938550948670429,45.33764320805805,40.32482100150261,4.765885152045318,53.63472823959809,3.5311998794947175,18.001711273787755,10.93931151479832
17,"Morelos",2001,4.100956721657342,55.45755320518159,34.95276959689488,3.1545820935825706,76.02542845533995,3.7854985122990845,17.72875136593405,17.7918430078057
18,"Nayarit",2001,2.0172378280931156,66.03799626704831,33.974531841568265,1.804897004083314,86.21037454797947,1.4863857680686117,24.63153558513699,13.802153560637107
19,"Nuevo León",2001,2.423344685188593,34.63363445915365,24.5363649375345,5.629227758302669,44.73090398077278,3.382585289742411,15.019688413408467,12.242939294963206
20,"Oaxaca",2001,2.5272732538955505,44.63902870925624,31.264357893696637,2.6124622399819173,52.306037457029255,8.973239867763978,17.12298620335974,13.857408403382344
21,"Puebla",2001,1.8134072643567931,32.450445783226826,20.291072863276536,2.02338073707179,39.66589784561491,2.02338073707179,12.751116343056186,9.486983267213958
22,"Querétaro",2001,3.5346761930721704,58.05025901699295,42.48408885904051,3.058854397850917,78.10274895846007,3.398727108723241,21.479955327130885,14.614526567509936
23,"Quintana Roo",2001,4.127372842521677,64.45051438706926,36.511375145384065,3.3865623323254783,75.03352167558637,4.339032988292019,12.805438819105715,17.991112390479103
24,"San Luis Potosí",2001,1.6913204815527676,42.79040818328502,43.297804327750846,4.862546384464207,58.1814245654152,3.9323201196101842,15.13731830989727,14.714488189509076
25,"Sinaloa",2001,4.488285188736262,40.43325881232236,38.61472946861025,4.913898439392287,62.48776361904364,5.6490485996163295,12.691013292288739,24.182571060001408
26,"Sonora",2001,5.026412706071994,53.41109849408676,72.42405090401125,10.664736524187536,81.82125726753715,8.12967620286427,19.668571458542583,17.089803200644777
27,"Tabasco",2001,7.59952554313501,97.92091358620584,95.30215816255796,7.753569979820179,128.06227503093726,8.010310707628793,25.930813508670134,39.332679500279845
28,"Tamaulipas",2001,4.485656412736461,53.40734666414348,68.05581838698599,8.550782536778879,85.01720669764573,5.6771588973695835,15.033957820812045,18.713597846884923
29,"Tlaxcala",2001,2.8821794842488893,81.89365155245119,64.10364714967356,4.969274972842912,87.06169752420783,4.8698894733860545,21.169111384310806,11.628103436452415
30,"Veracruz de Ignacio de la Llave",2001,2.6042820341197745,42.67342572212566,29.5387858978694,4.0054989981298705,48.15091021780148,1.7975207518109315,10.473742963307789,9.935902108435227
31,"Yucatán",2001,4.180893317538848,45.35107890274777,37.68610782059322,4.064757392051657,70.0880310315193,4.993844795949179,14.57505864864237,14.284718834924396
32,"Zacatecas",2001,3.1197535539797174,41.71763473344971,28.875858476370407,3.3374107786759764,56.80853564572369,4.425696902157273,11.245623275973399,11.46328050066966
1,"Aguascalientes",2002,7.312614259597806,77.37536439547408,75.49780127476654,9.684272938386284,119.175848609121,6.423242255052127,21.839023667177234,32.61030683334157
2,"Baja California",2002,2.7265167385406777,28.514820890571247,22.683104533137023,2.9915947547876875,42.07166800720406,5.869584645469514,10.413779209703975,8.596101384010192
