"nation_id","nation","state_id","state","year","gdp","projected_population","medicos_en_otras_actividades","medicos_generales_especialistas_y_odontologos","otro_personal","otro_personal_profesional","personal_de_enfermeria_en_contacto_c_paciente","personal_de_enfermeria_en_otras_labores","personal_medico_en_adiestramiento","personal_tecnico","camas_en_area_de_hospitalizacion_censables","camas_fuera_del_area_de_hospitalizacion_no_censables","camas_recien_nacidos","consultorios","equipamiento","ciertas_afecciones_originadas_en_el_periodo_perinatal_p00_p96_mortalidad","ciertas_enfermedades_infecciosas_y_parasitarias_a00_b99_mortalidad","embarazo_parto_y_puerperio_o00_o99_mortalidad","enfermedades_de_la_piel_y_del_tejido_subcutaneo_l00_l99_mortalidad","enfermedades_de_la_sangre_y_de_los_organos_hematopoyeticos_y_ciertos_trastornos_que_afectan_el_mecanismo_de_la_inmunidad_d50_d89_mortalidad","enfermedades_del_ojo_y_sus_anexos_h00_h59_mortalidad","enfermedades_del_sistema_circulatorio_i00_i99_mortalidad","enfermedades_del_sistema_digestivo_k00_k93_mortalidad","enfermedades_del_sistema_genitourinario_n00_n99_mortalidad","enfermedades_del_sistema_nervioso_g00_g99_mortalidad","enfermedades_del_sistema_osteomuscular_y_del_tejido_conjuntivo_m00_m99_mortalidad","enfermedades_del_sistema_respiratorio_j00_j99_mortalidad","enfermedades_endocrinas_nutricionales_y_metabolicas_e00_e90_mortalidad","malformaciones_congenitas_deformidades_y_anomalias_cromosomicas_q00_q99_mortalidad","sintomas_signos_y_hallazgos_anormales_clinicos_y_de_laboratorio_no_clasificados_en_otra_parte_r00_r99_mortalidad","trastornos_mentales_y_del_comportamiento_f00_f99_mortalidad","tumores_neoplasias_c00_d48_mortalidad","ciertas_afecciones_originadas_en_el_periodo_perinatal_p00_p96morbilidad","ciertas_enfermedades_infecciosas_y_parasitarias_a00_b99morbilidad","embarazo_parto_y_puerperio_o00_o99morbilidad","enfermedades_de_la_piel_y_del_tejido_subcutaneo_l00_l99morbilidad","enfermedades_de_la_sangre_y_de_los_organos_hematopoyeticos_y_ciertos_trastornos_que_afectan_el_mecanismo_de_la_inmunidad_d50_d89morbilidad","enfermedades_del_ojo_y_sus_anexos_h00_h59morbilidad","enfermedades_del_sistema_circulatorio_i00_i99morbilidad","enfermedades_del_sistema_digestivo_k00_k93morbilidad","enfermedades_del_sistema_genitourinario_n00_n99morbilidad","enfermedades_del_sistema_nervioso_g00_g99morbilidad","enfermedades_del_sistema_osteomuscular_y_del_tejido_conjuntivo_m00_m99morbilidad","enfermedades_del_sistema_respiratorio_j00_j99morbilidad","enfermedades_endocrinas_nutricionales_y_metabolicas_e00_e90morbilidad","malformaciones_congenitas_deformidades_y_anomalias_cromosomicas_q00_q99morbilidad","sintomas_signos_y_hallazgos_anormales_clinicos_y_de_laboratorio_no_clasificados_en_otra_parte_r00_r99morbilidad","trastornos_mentales_y_del_comportamiento_f00_f99morbilidad","tumores_neoplasias_c00_d48morbilidad","ciertas_afecciones_originadas_en_el_periodo_perinatal_p00_p96_letalidad","ciertas_enfermedades_infecciosas_y_parasitarias_a00_b99_letalidad","embarazo_parto_y_puerperio_o00_o99_letalidad","enfermedades_de_la_piel_y_del_tejido_subcutaneo_l00_l99_letalidad","enfermedades_de_la_sangre_y_de_los_organos_hematopoyeticos_y_ciertos_trastornos_que_afectan_el_mecanismo_de_la_inmunidad_d50_d89_letalidad","enfermedades_del_ojo_y_sus_anexos_h00_h59_letalidad","enfermedades_del_sistema_circulatorio_i00_i99_letalidad","enfermedades_del_sistema_digestivo_k00_k93_letalidad","enfermedades_del_sistema_genitourinario_n00_n99_letalidad","enfermedades_del_sistema_nervioso_g00_g99_letalidad","enfermedades_del_sistema_osteomuscular_y_del_tejido_conjuntivo_m00_m99_letalidad","enfermedades_del_sistema_respiratorio_j00_j99_letalidad","enfermedades_endocrinas_nutricionales_y_metabolicas_e00_e90_letalidad","malformaciones_congenitas_deformidades_y_anomalias_cromosomicas_q00_q99_letalidad","sintomas_signos_y_hallazgos_anormales_clinicos_y_de_laboratorio_no_clasificados_en_otra_parte_r00_r99_letalidad","trastornos_mentales_y_del_comportamiento_f00_f99_letalidad","tumores_neoplasias_c00_d48_letalidad","personal_p2","infraestructura_p2","mortalidad_p2","morbilidad_p2","letalidad_p2"
"mex","México",1,"Aguascalientes",2012,166978.12,1250962,7.194463141166559,74.34278579205443,94.88697498405227,25.820128828853314,162.9945593870957,5.9154474716258365,23.981543803888528,37.571085292758696,37.4112083340661,17.986157852916396,7.913909455283215,33.89391524282912,8.073786413975803,11.271325587827608,10.871633191096134,1.1990771901944264,1.0392002315018363,2.7179082977740334,0.1598769586925902,97.52494480248001,46.04456410346597,13.109910612792394,10.471940794364656,4.636431802085116,39.24979335903089,72.74401620512853,7.913909455283215,2.9577237358129183,4.23673940535364,65.86930698134715,17.986157852916396,138.2136307897442,2446.0375295172835,173.46650018146033,32.455022614595805,197.20822854731,173.86619257819183,1001.469269250385,747.7445358052443,152.76243403076992,366.03829692668523,1706.9263494814393,253.08522561037026,32.5349610939421,494.09974083944996,477.63241409411313,59.314351674950956,0.6266666666666667,0.07865818392134181,4.902120984345893e-4,0.005990783410138249,0.08374384236453201,8.107012565869477e-4,0.5609195402298851,0.04597701149425287,0.01753260637160573,0.0685504971219257,0.012666521074470409,0.02299442701259776,0.2874289324068225,0.24324324324324326,0.005986086393787413,0.008870292887029289,1.110512129380054,54.817912166951345,24.28397732476212,375.7274743553002,3396.1433941111163,291.3543367210641
"mex","México",2,"Baja California",2012,456744.96,3258386,3.253144348152736,31.88695262010087,40.35740394170611,6.322148450183619,73.50264824363964,4.572816112026016,14.547079443626384,11.539455423636118,18.35264453014468,11.386005218534574,7.580440132016281,18.782305104429003,4.296605742843236,9.636672880376972,25.50342408787664,0.6444908614264854,1.5958821330560589,2.0562327483606913,0,117.38940690268127,39.03773217783283,13.503618048935884,8.470451321605236,3.0690041020308825,37.71806041395955,62.39285339428785,7.764580378138133,3.744185004477677,1.810712420198221,63.405624747958036,11.447385300575194,99.46642294682091,255.95494210937562,124.11052588612888,24.951003349511076,0,121.2870421122605,575.8065496230342,307.08455044921016,76.01923160730497,202.33944044689608,763.506840503243,193.40863850998625,7.273539721813192,366.0708092902437,75.7430212381222,43.36502796169638,0.8418230563002681,0.2564023449552607,0.002517985611510791,0.012858555885262116,0.08241082410824108,0,0.9678643724696356,0.06779661016949153,0.043973615830501696,0.11142511102139685,0.015167602002123465,0.04940107725701423,0.32259600126943827,1.0675105485232068,0.0102280348759222,0.023905996758508914,1.462137296532201,58.726724037537785,28.54603395543058,372.9584600052465,3403.9607458957084,289.07594572110753
"mex","México",3,"Baja California Sur",2012,114898.75,668635,6.879687722000792,67.30129293261645,116.80513284527433,22.134647453393853,127.42378128575382,4.785869719652725,22.732881168350445,33.650646466308224,39.63298361587413,30.509919462786122,3.5894022897395437,34.398438610003964,11.964674299131813,10.020414725522892,15.254959731393061,0.2991168574782953,2.0938180023480673,1.346025858652329,0,107.83162712092546,32.45417903639504,9.870856296783746,8.375272009392269,3.140727003522101,30.21080260530783,59.52425463818077,5.533661863348463,1.4955842873914766,2.5424932885655105,63.71189064287691,40.231217330830724,226.7305779685479,502.81543742101445,346.9755546748226,36.19313975487374,0,134.15391057901545,1422.898891024251,788.3224778840474,232.1146814031572,654.9163594487277,2612.6361916441706,331.8701533721687,12.562908014088404,912.4559737375399,176.92762119841169,53.84103434609316,0.24907063197026022,0.06728232189973615,5.94883997620464e-4,0.00603448275862069,0.0371900826446281,0,0.8037904124860646,0.022808492747529954,0.012521343198634035,0.03608247422680412,0.004795615437314455,0.011563340775087298,0.1793600721045516,0.44047619047619047,0.0016390755613833797,0.014370245139475908,1.1833333333333333,56.00228415287538,22.655747489421344,378.86222251661616,3397.7734345201197,291.55788860596584
"mex","México",4,"Campeche",2012,779041.23,867064,8.073221815229326,76.3496120240259,53.05260050007842,26.064973289168968,140.35872784477272,6.227913971748337,20.529049758726,25.949641548951405,61.12582231530776,29.2942620152607,5.76658701087809,41.058099517452,8.188553555446887,17.29976103263427,16.492438851111334,0.6919904413053708,1.2686491423931798,2.6526300250039214,0,99.64662354797339,48.43933089137595,13.839808826107415,5.651255270660528,3.575283946744416,31.716228559829492,68.04572672836146,7.265899633706392,14.416467527195225,1.8453078434809886,54.20591790225404,20.875044979378686,299.7471928254431,1564.8210512718783,239.89001965252854,31.02423811852412,0,92.03472869361431,889.3230488176191,648.1643800226973,103.5679027153705,290.9819805689084,1696.9912255612041,291.2126440493435,3.22928872609173,690.7217921629776,170.69097552199145,54.32124964247161,0.8287292817679558,0.05502116198537899,4.422169811320755e-4,0.005288461538461539,0.08550185873605948,0,1.0827067669172932,0.05446764362598885,0.021352313167259787,0.05456570155902005,0.012286959968291716,0.01868968329482126,0.23366336633663368,2.25,0.020871597929537484,0.010810810810810811,0.9978768577494692,53.342244705615286,21.01343359772188,375.73701183499855,3401.336521008001,289.7614377918238
"mex","México",5,"Coahuila de Zaragoza",2012,543684.55,2874749,2.156710029292992,37.0467125999522,37.84678244952864,13.218545340828015,65.53615637399996,2.156710029292992,7.722413330694263,10.679193209563687,21.149672545324826,9.4269099667484,2.36542390309554,21.94974239490126,5.356989427598723,15.20132714195222,13.983829544770693,0.8000698495764326,1.0087837233789803,2.7480660050668773,0,138.72515478742665,40.942704910933095,13.740330025334385,8.313769306468147,3.6177071459108254,30.646153803340745,89.95567960889802,6.122273631541398,10.470479335761139,1.5653540535191075,68.1450797965318,26.611018909824825,64.07515925738213,882.1987589177351,66.4057975148439,17.39282281687897,0,54.75260622753499,347.23031471617173,269.69311059852527,31.898437046156033,94.58217047818783,463.2056572591207,145.75185520544576,13.84468696223566,166.3797430662642,51.865397639933086,46.68233644050316,0.5712418300653594,0.2182410423452769,9.069043018808407e-4,0.015191199580932426,0.158,0,2.533672172808132,0.1179122420356642,0.05094802012124339,0.2606324972737186,0.038249356381022434,0.06616100931210574,0.6171837708830549,0.44221105527638194,0.06293121471879573,0.030181086519114688,1.4597615499254843,60.47175039779095,27.30067164688866,373.1238358272533,3407.6704408890205,281.04163724038705
"mex","México",6,"Colima",2012,87516.44,681887,9.679023063938747,82.71165163729475,92.53732656583863,20.38460918011342,152.8112429185481,15.10514205432865,34.60984004681128,25.664076305898192,45.022122433775685,44.58216683996029,8.79911187630795,50.30158955956045,10.705586116174674,8.065852553282289,17.5982237526159,0.5866074584205301,1.7598223752615902,3.372992885918048,0,120.8411364346292,55.87436041455549,15.838401377354312,10.558934251569543,4.399555938153975,39.74265530799091,94.00384521188994,4.399555938153975,8.212504417887422,3.5196447505231805,81.24513299124341,29.330372921026505,179.79518600589248,292.42381802263424,206.19252163481633,41.64912954785763,0,127.44047034186016,962.7694911326951,583.6744211284274,133.74650051988084,354.4575567506053,1514.1805020479933,465.91297385050603,11.58549730380547,758.4834437377455,196.6601504354827,54.9944492269247,0.275,0.09787928221859707,0.0020060180541624875,0.008534850640113799,0.08098591549295775,0,0.9482163406214039,0.058035034272658034,0.027135678391959798,0.07894736842105263,0.012412081092263137,0.026246973365617432,0.20176266918476551,0.379746835443038,0.01082753286929621,0.017897091722595078,1.4773333333333334,52.60105369061169,21.13848192411542,375.30335984169716,3397.6463758561836,291.4761731767705
"mex","México",7,"Chiapas",2012,281695.95,5038786,3.969210043847863,51.698960821118426,51.71880687133766,16.8096045356957,95.89611465936439,7.402576731776266,9.109337050630845,26.13724813873818,22.187884145109557,17.68283074534223,4.108132395382539,29.947689780832132,6.906425476295283,12.106090633735983,23.20003270629076,1.2701472140313164,0.694611757673376,5.398125659633094,0.019846050219239318,79.34450877651878,45.05053399767325,17.345447891615162,8.41472529295747,2.818139131131983,34.59166553213413,62.67382659235776,7.422422781995504,32.34906185736009,3.076137783982094,55.25140381036226,21.652040789190092,214.69457127173092,655.8325755449824,107.34728563586546,30.602609438067027,86.78677760873353,56.978010179436076,499.42585376715743,370.64483389451345,49.37697294546742,127.41164240751641,906.904956868579,205.8035407735117,8.752108146684538,257.2246568915608,59.478612507060234,51.95695947396853,0.5591200733272227,0.10806063967461638,0.0019366943049083096,0.006470696986503975,0.17639429312581065,2.28675966155957e-4,1.3925461511668409,0.09020464931452414,0.046798029556650245,0.17041800643086816,0.022118380062305296,0.03814254765083047,0.30453230472516873,0.8480725623582767,0.12576190108787902,0.051718385051718385,1.0634071810542398,55.467000458590746,25.690146114057782,373.74856186623646,3405.1779907629875,287.2467011698813
"mex","México",8,"Chihuahua",2012,463972.51,3531604,3.5960996759546084,43.379722075294964,56.97127990567459,15.743554486856397,101.88005223688727,7.50367255218875,15.771870232336354,19.028180962531472,28.627218680237085,20.92533590968863,3.9925201126740144,22.42607042012638,7.475356806708793,13.506610593939751,19.084812453491388,0.9627353463185566,1.9254706926371132,3.624415421434566,0.028315745479957546,149.84692507993535,49.4959230989658,15.658607250416525,10.61840455498408,4.162414585553759,43.26645909337513,79.28408734388114,6.059569532710915,9.400827499345906,4.332309058433505,76.14103959560586,1.075998328238387,9.768932190585355,144.91998536642274,17.0743945244144,3.7376784033543964,12.628822484061066,23.70027896672447,91.94122557342216,59.88780169011022,12.317349283781533,35.13984014062732,101.05889561796849,24.46480409468332,0.8494723643987264,45.64498171369157,11.722718628702426,13.138505902700302,12.552631578947368,1.953623188405797,0.006643220007815553,0.11276948590381426,0.9696969696969697,0.002242152466367713,6.32258064516129,0.5383430859254696,0.2614657210401891,0.8620689655172413,0.11845286059629331,0.42813112916783413,3.240740740740741,7.133333333333334,0.20595533498759305,0.3695652173913043,5.795258620689655,56.85009366576987,25.459240672637915,369.8500391227628,3403.9570613571123,288.3400246667761
"mex","México",9,"Ciudad de México",2012,2563863.36,9049100,15.261186195312241,105.83372932114796,199.94253572178448,56.02767126012532,186.89151407322277,10.962416151882508,40.777535887546826,68.59245670840194,74.86932402117338,27.925429048192637,10.84085710181123,41.982075565525854,14.167154744670741,13.703020189853135,21.736968317291222,1.0940314506415003,2.8621630880419047,5.006022698389895,0.011050822733752528,199.00321578941552,76.84742129051507,27.71546341625134,11.028721088285023,9.282691096352123,68.69191411300571,130.76438540849367,13.360444685106806,3.635720679404582,3.348399288327016,117.1166193323093,25.991535069785947,136.3892541799737,1174.3930335613486,142.09147871059002,22.78679647699771,135.20681614746218,133.71495507840558,614.226829187433,545.0044755832072,94.72765247372666,292.08429567581305,1078.6487053961168,252.09136820236267,12.133803361660275,396.90134930545577,127.83591738404925,44.17013846680885,0.5272108843537415,0.15937449359909253,9.315718157181572e-4,0.020143101571006378,0.21968962172647916,8.173273395995096e-5,1.4882644628099173,0.12511244647547767,0.05085364370006894,0.1164255716285581,0.03178086338012183,0.06368330464716007,0.518718218481501,1.1010928961748634,0.009160262835505067,0.026192946058091287,2.6514886164623466,47.94129720038612,17.99029117227852,357.69258070880517,3397.2581449789423,289.7760872070263
"mex","México",10,"Durango",2012,180059.76,1708439,3.921708647484633,67.07877776145358,71.29315123337737,20.310938816077133,99.09630955509678,4.331439401699446,18.789081728993544,21.71572997338506,41.96813582457437,11.296862223351258,5.970362418558696,36.34897119534265,11.179796293575597,14.047911573079285,10.535933679809464,0.8779944733174553,1.5803900519714196,2.5169174901767053,0.1170659297756607,130.06024798075904,38.5732238610802,12.818719310434847,8.019016189632758,3.7461097528211424,38.45615793130454,71.11755233871388,6.61422503232483,7.550752470530116,2.7510493497280266,54.962454029672706,8.545812873623232,182.27165266070372,1174.7566052987552,183.3837789935725,20.07680695652581,209.13828354421787,110.21757288378456,784.8685261809172,523.8700357460817,207.67495942202208,344.4079653999938,1686.5688502779437,227.5761674838844,4.097307542148124,18.789081728993544,151.9515768488076,18.37935097477873,1.643835616438356,0.057803468208092484,7.473841554559044e-4,0.008617938078518992,0.12536443148688048,5.59753708368318e-4,1.180031864046734,0.04914609590573495,0.02446927374301676,0.03861330326944758,0.010876954452753228,0.02280141597834386,0.3125,1.6142857142857143,0.40186915887850466,0.01810477657935285,2.9904458598726116,54.90745076398245,22.29530287019443,377.41638181866585,3400.153474464272,290.92059357373824
