"state_id","state","year","camas_en_area_de_hospitalizacion_censables","camas_fuera_del_area_de_hospitalizacion_no_censables","camas_recien_nacidos","consultorios","equipamiento"
1,"Aguascalientes",2012,37.4112083340661,17.986157852916396,7.913909455283215,33.89391524282912,8.073786413975803
2,"Baja California",2012,18.35264453014468,11.386005218534574,7.580440132016281,18.782305104429003,4.296605742843236
3,"Baja California Sur",2012,39.63298361587413,30.509919462786122,3.5894022897395437,34.398438610003964,11.964674299131813
4,"Campeche",2012,61.12582231530776,29.2942620152607,5.76658701087809,41.058099517452,8.188553555446887
5,"Coahuila de Zaragoza",2012,21.149672545324826,9.4269099667484,2.36542390309554,21.94974239490126,5.356989427598723
6,"Colima",2012,45.022122433775685,44.58216683996029,8.79911187630795,50.30158955956045,10.705586116174674
7,"Chiapas",2012,22.187884145109557,17.68283074534223,4.108132395382539,29.947689780832132,6.906425476295283
8,"Chihuahua",2012,28.627218680237085,20.92533590968863,3.9925201126740144,22.42607042012638,7.475356806708793
9,"Ciudad de México",2012,74.86932402117338,27.925429048192637,10.84085710181123,41.982075565525854,14.167154744670741
10,"Durango",2012,41.96813582457437,11.296862223351258,5.970362418558696,36.34897119534265,11.179796293575597
11,"Guanajuato",2012,27.507070491733153,21.932023699909607,7.310674566636536,28.83947161179161,7.205485004526657
12,"Guerrero",2012,29.462916771550834,31.2078079589922,3.2323394128012084,46.53996658962448,8.323989107302227
13,"Hidalgo",2012,24.71982100831645,38.19680797203417,8.468160257950972,44.82719728038727,8.1438477374337
14,"Jalisco",2012,34.96717672955893,12.915569190828514,5.552000479609431,26.600077415217957,5.604131939511867
15,"Estado de México",2012,25.599863265125393,14.500268229678435,4.645901111078312,22.629014935592323,4.942985944031619
16,"Michoacán de Ocampo",2012,25.658099169885027,14.515914236249834,6.45891596750566,30.60771518622098,5.282549829093976
17,"Morelos",2012,22.890917758439272,29.36947938818624,6.3165975890032895,38.16952560192586,6.532549643328188
18,"Nayarit",2012,27.65226136494732,39.717101514621795,5.107742545117659,46.762263645818564,10.831936776715034
19,"Nuevo León",2012,13.973410595837635,5.9071269282695535,7.27187694273183,23.50629129387264,3.1572574961440716
20,"Oaxaca",2012,29.508281940166988,45.001404064192485,4.357440597382172,40.94974877188977,8.409095889684894
21,"Puebla",2012,28.254772588829457,24.594570512550852,4.438616092500759,26.432952550862733,6.045130125980513
22,"Querétaro",2012,22.632097389488557,22.73567678257546,6.629081157561866,30.607710657180178,6.939819336822579
23,"Quintana Roo",2012,28.86780606806972,18.415669388251374,4.763899030937614,35.693691246726594,8.319047561488071
24,"San Luis Potosí",2012,38.68381039635798,12.049055697226255,4.625643673238563,25.179915156742172,5.85666174756818
25,"Sinaloa",2012,24.503916652122147,15.932730009348813,4.25103208492387,31.139674052978922,8.156451805219785
26,"Sonora",2012,42.49810888831519,15.742714932290077,5.127214496296309,26.935929677725685,6.896464568961938
27,"Tabasco",2012,44.81013104598113,31.220878252766123,5.246483673329844,63.30183579624205,10.062927701304783
28,"Tamaulipas",2012,40.97030906184187,20.470406399509184,5.958245090347053,29.584751611970763,7.285576917404565
29,"Tlaxcala",2012,20.65759467522032,47.089556365954984,6.750316370249159,42.535126043859165,7.888923950773115
30,"Veracruz de Ignacio de la Llave",2012,29.042722460530616,14.226032810610409,5.052001051117831,27.157647441456795,5.85629972592266
31,"Yucatán",2012,36.49132706466214,12.833191531465076,6.563540706932519,20.81720000333075,6.122705883332575
32,"Zacatecas",2012,33.849997997423785,17.893987491004555,4.457347064546261,39.47013125272124,13.372041193638784
1,"Aguascalientes",2013,34.814528533048765,18.228730670113176,10.248771320964916,34.26688426398957,9.231717678426415
2,"Baja California",2013,17.978805660651258,10.690100663089938,5.709485581423035,18.889893785346423,4.130266165284748
3,"Baja California Sur",2013,39.370997281943,29.60115721568307,4.0829182366459404,35.28807904529706,13.415302777550949
4,"Campeche",2013,69.80340780915725,33.37440081637178,11.992157581475963,45.14029127366896,12.784092516101735
5,"Coahuila de Zaragoza",2013,20.733933257982905,9.767224757892775,3.1529286937759133,20.871017114234036,5.483354250045067
6,"Colima",2013,39.97653176264869,24.446080574281574,8.771828911948093,51.48056967995766,10.497434599544441
7,"Chiapas",2013,24.695477667452685,18.263348519655224,3.7423296859912516,30.542867801814015,7.231272466160179
8,"Chihuahua",2013,28.38528973772105,19.035832287017676,4.604537603349408,22.71384707993702,7.327953137037778
9,"Ciudad de México",2013,72.20273202331376,27.898517404115267,11.194735515541307,43.49828198346425,13.535252211098266
10,"Durango",2013,49.780630662330424,18.920100645706118,7.325770676843527,33.91774140144877,12.11347907194599
11,"Guanajuato",2013,29.88657112303461,21.446382055881315,7.921324985156163,29.471479857436904,7.782961229956928
12,"Guerrero",2013,32.032576193695796,31.067910480156684,4.567975878817558,48.999343743589584,8.653618900865562
13,"Hidalgo",2013,24.028393966282167,35.77639751552795,6.672582076308784,43.33629103815439,8.05678793256433
14,"Jalisco",2013,34.47716473176444,14.421231964294009,6.3165253295881865,26.30813502852921,5.351679301647018
15,"Estado de México",2013,25.961184318920832,15.10400874860107,4.6459481906308,22.712138671513255,5.094952579523978
16,"Michoacán de Ocampo",2013,25.29448755827393,14.996644967275255,4.457275151327785,30.67395756849712,5.4453410715728605
17,"Morelos",2013,25.332556326353576,25.119677701762367,4.417231460267535,39.86152245470342,6.386358737736195
18,"Nayarit",2013,27.594463460691728,38.320837972057795,2.768096648094468,48.6146973821591,10.726374511366064
19,"Nuevo León",2013,14.751782789879519,8.663428593785806,7.006597779766863,23.934218626611017,3.094081640637788
